cell_line	a0	b0	a1	b1	non_ASE_conv_status	ASE_conv_status
A673	449.480536886625	450.767573524473	4.93313424746187	4.94355844506801	TRUE	TRUE
Caco-2	24687447.7720458	24656290.6703322	3.3580556689564	3.27575182604676	TRUE	TRUE
Calu3	1027.35878115715	1034.10633262569	6.80711254422335	6.22420881979218	TRUE	TRUE
GM12878	182.856205888252	183.57884833742	4.07178072401124	3.76368974378373	TRUE	TRUE
HCT116	801.449515813698	799.374659797555	5.17549880782087	4.58738093080197	TRUE	TRUE
HepG2	438.399242598859	438.375145624259	5.90144869272077	5.51817674952425	TRUE	TRUE
HMEC	279.46492857143	279.053988410647	4.83498058237187	4.45472801810062	TRUE	TRUE
HUVEC	130.822003008879	131.21823233629	5.38012042675639	4.81784722296543	TRUE	TRUE
IMR-90	593.554538067887	595.63459324512	6.85466341368956	6.48448402906212	TRUE	TRUE
MCF10A	861.312833756179	865.975566524884	6.52583674595063	6.29728884109407	TRUE	TRUE
MCF-7	661.237848139366	665.296126106896	4.46028053700122	4.3487042666981	TRUE	TRUE
OCI-LY7	862.715885512219	862.290831294207	6.67761690351662	6.22445281497068	TRUE	TRUE
PC-3	87.5896213877533	86.6582884948971	5.2785206137226	4.94231303397214	TRUE	TRUE
PC-9	158.490502923742	160.057966237548	5.89255281743852	5.21969281797951	TRUE	TRUE
