cell_line	a0	b0	a1	b1	non_ASE_conv_status	ASE_conv_status
A673	9108325844.20315	9143694664.23981	5.57608526940126	5.50697792632085	TRUE	TRUE
Caco-2	9.36906093629601e+66	9.21301064725125e+66	3.38286429715955	3.24142173816246	TRUE	TRUE
Calu3	1.6715814624691e+62	1.66499848004863e+62	5.08167423194893	4.28484393381545	TRUE	TRUE
GM12878	249.802019321918	251.101010610545	4.19248667319844	3.89385041227858	TRUE	TRUE
HCT116	705686.467867477	704794.893823901	5.32619051461214	4.50708641486808	TRUE	TRUE
HepG2	2039700573.26391	2047343524.39839	5.92008670476695	5.72059793577066	TRUE	TRUE
HMEC	2816.48142428121	2814.16373290861	5.33212268990116	5.04457664657186	TRUE	TRUE
HUVEC	295.323439349587	295.748939736541	4.63612670855492	3.79040473831864	TRUE	TRUE
IMR-90	5969509783.5974	5984353375.24675	6.29958248783754	6.01875848418952	TRUE	TRUE
MCF10A	4021.41605433127	4029.68820036184	6.11050651786792	5.82970816860209	TRUE	TRUE
MCF-7	6352112.22578964	6361267.20858766	4.72670587228364	4.5421975732744	TRUE	TRUE
OCI-LY7	1733404.00278236	1737591.9092632	7.51715411550493	7.17499844539819	TRUE	TRUE
PC-3	8034373.49252076	7723224.20292492	6.29630615847729	6.20597521417036	TRUE	TRUE
PC-9	872242.261173212	867500.029570021	5.56385601807792	4.23157899800839	TRUE	TRUE
